car,move
I,1
H,1
G,-2
I,1
H,-1
G,1
H,2
F,1
H,-1
I,-1
H,-1
I,-1
G,-1
E,1
I,2
H,2
A,3
X,-1
H,-1
I,-1
G,2
B,1
G,-1
I,1
H,1
C,-3
G,-2
H,-1
I,-1
F,1
E,1
I,1
H,1
D,-1
E,-1
H,-1
D,4
F,-1
G,2
C,3
G,-1
B,-1
X,3
G,1
X,-2
A,-3
X,1
H,-1
X,1
G,-1
X,-2
E,-1
X,1
H,1
X,1
G,1
F,-1
H,-1
G,-1
B,1
H,1
C,-2
G,-1
H,-1
G,2
F,1
H,1
E,1
G,-2
H,-1
G,1
C,1
H,1
E,-1
G,-1
H,-1
F,1
E,2
H,1
E,-1
D,-1
I,-1
H,-1
I,-1
E,-1
C,-1
I,2
H,2
C,1
B,2
X,-2
H,-2
X,1
I,-2
C,-1
X,-1
I,1
X,2
H,1
X,-1
I,1
X,-1
D,-2
I,-1
F,-1
H,-1
I,-1
G,3
C,2
I,1
H,1
G,-2
I,1
H,-1
G,1
H,2
C,-2
H,-1
C,1
I,-1
H,-1
G,-1
B,1
I,1
G,-1
F,-1
I,-1
G,3
C,-1
G,-2
I,1
G,1
F,1
I,-1
E,1
G,-2
I,1
G,1
C,2
I,-1
G,2
C,-1
A,2
G,-3
I,1
G,2
C,-2
I,-1
G,-1
D,-1
X,2
I,1
X,-1
G,-1
X,-1
F,1
X,2
I,-1
X,-1
E,1
X,-1
D,1
I,1
C,2
A,-2
I,-1
E,-1
D,2
X,2
I,1
X,-1
D,1
X,-1
F,-1
X,2
G,2
X,-1
G,-1
E,-1
X,-1
G,1
F,-1
X,2
G,-2
X,-1
C,-1
X,-1
G,1
X,2
F,1
G,-1
F,1
E,2
X,-2
A,2
X,1
E,-1
X,1
F,-1
X,-2
G,2
X,1
G,-1
C,-1
X,-1
C,3
X,2
G,1
C,-3
A,-1
X,-2
G,-2
X,1
F,1
X,1
D,-1
X,-2
I,-1
D,-3
F,-1
X,2
I,1
G,2
X,-1
I,-1
G,1
X,2
