car,move
A,1
B,1
A,-2
K,-1
F,-1
K,1
M,2
G,-3
S,-3
T,-1
G,3
T,1
R,1
J,-1
R,-1
G,-1
T,-1
S,2
U,-1
E,1
S,-2
M,-2
J,1
G,1
F,1
B,1
S,-4
A,1
K,-1
B,-2
K,1
B,2
M,2
G,-1
S,1
M,-2
A,-1
U,1
B,-1
U,-1
S,-1
P,1
G,1
I,-1
K,-1
F,-1
M,2
F,1
G,-1
H,1
F,-1
K,1
G,1
S,6
G,-2
S,-2
I,1
S,2
B,1
H,-1
S,-2
H,1
M,-2
H,-1
P,-1
G,2
U,1
T,1
S,-4
F,1
T,-1
K,-1
S,3
T,1
F,-1
E,1
B,-1
T,-1
B,1
T,1
M,2
E,-1
F,1
T,-1
B,-1
K,1
F,-1
T,1
E,-1
S,-3
F,1
T,-1
K,-1
T,1
E,1
G,-1
S,1
G,1
A,2
M,-2
A,-2
B,1
M,2
S,2
A,2
R,1
S,-2
M,-2
K,1
S,3
A,-2
R,-1
F,-1
S,-4
K,-1
S,3
T,-1
M,2
U,-1
F,1
S,-3
A,1
S,3
B,-2
S,-3
G,-1
I,-2
P,1
S,1
H,1
G,1
A,1
I,2
H,-1
S,2
B,2
A,-2
H,1
M,-2
F,-1
B,-1
E,-1
S,-3
G,-3
D,2
K,1
D,-2
M,2
S,1
D,2
M,-2
H,-1
K,1
C,-1
H,-2
M,2
S,-1
K,-2
H,3
S,1
H,-3
K,2
D,3
G,4
E,4
S,-1
F,1
I,-1
A,1
D,-1
A,-1
F,-1
S,1
F,1
A,5
D,1
A,-5
F,-1
J,-1
S,-1
J,1
D,-1
J,-1
I,1
B,1
S,1
J,1
S,-1
F,1
A,1
S,1
B,-2
A,4
D,1
A,-4
I,-2
S,-1
D,-1
S,1
D,1
A,4
D,-1
A,-4
X,-1
S,-1
N,-4
D,1
N,4
D,-1
S,1
N,-4
L,1
A,4
X,1
F,-1
L,-1
J,-1
D,1
J,1
F,1
S,-1
N,-1
F,-1
I,2
D,-1
J,-1
I,-2
X,-1
N,5
O,-1
N,-5
S,1
D,1
N,5
O,1
N,-5
S,-1
L,1
X,1
O,-1
Q,-3
D,-1
L,-1
R,-1
S,1
A,-1
D,1
L,1
O,2
N,1
L,2
N,-1
J,1
E,-3
F,1
S,3
G,-2
Q,2
X,-1
C,-1
A,-1
L,-2
X,1
S,2
Q,-2
J,1
X,6
