car,move
E,1
A,1
K,-5
T,-6
Q,-1
U,-1
S,-5
J,-2
E,2
F,-1
B,1
Q,-1
L,1
T,1
U,1
A,1
B,-1
L,-1
Q,2
T,-2
F,-2
U,-2
B,1
A,1
E,-2
J,2
Q,-2
U,2
A,-1
B,-1
J,-2
E,2
U,-2
L,2
M,-3
L,-2
E,1
V,-3
R,-3
U,6
N,2
X,-1
B,1
F,2
G,-3
T,1
A,-1
V,-1
X,1
N,-3
R,3
A,2
F,-1
G,1
L,2
M,1
N,1
R,-2
T,1
U,-3
V,-2
A,-2
G,2
M,-1
R,2
U,3
A,1
B,-1
E,2
G,-1
T,-2
U,-2
J,2
M,1
N,-2
T,1
A,-1
U,2
A,1
J,-2
E,-2
M,-1
L,-2
R,-3
A,-1
N,3
G,1
T,1
V,-1
X,-2
B,1
E,-1
V,1
A,1
X,2
N,-1
R,3
A,1
E,1
Q,3
T,-2
F,-1
G,-3
U,-6
L,2
A,-1
G,2
L,-2
N,-1
G,-1
L,2
N,1
V,4
F,2
G,2
E,-1
T,1
F,-1
L,-2
Q,-3
R,-3
T,-1
U,6
V,-1
B,-1
F,-1
E,-2
N,2
V,1
X,-3
B,1
H,2
C,2
D,-1
N,-2
R,3
A,2
D,1
C,-1
E,-1
Q,2
U,-1
V,2
A,2
G,-3
E,1
I,-3
Q,-2
V,-2
A,-4
B,-1
C,1
D,-1
P,-2
Q,3
L,2
U,1
W,-2
R,1
L,-2
Q,-3
R,-1
U,-6
W,2
P,2
B,1
A,4
D,1
C,-1
Q,3
U,3
L,2
A,-4
C,-1
P,-2
O,1
U,3
A,1
I,2
L,-2
N,-1
C,1
A,3
L,2
M,2
N,1
B,1
P,1
A,-4
B,-2
C,-1
M,-2
L,-2
N,-2
O,-1
U,-3
L,2
O,1
H,1
U,3
C,1
L,-2
N,2
B,2
A,4
Q,-1
V,2
A,-4
B,-2
C,-1
H,-1
N,-2
Q,-2
V,-2
R,-3
N,1
O,-2
P,-1
R,3
U,-6
V,2
O,2
N,1
P,1
V,-2
R,-3
U,6
C,1
H,2
I,-2
N,2
X,3
C,1
H,-1
J,3
N,-1
U,-6
N,1
B,1
A,4
D,-1
E,-1
N,-1
P,-2
X,1
